panel,u2,u3,T_star
CRRA,-3.27856,1.09224,-2.37264
CRRA,-3.26253,1.09224,-2.34058
CRRA,-3.24649,1.09224,-2.30851
CRRA,-3.23046,1.09224,-2.27645
CRRA,-3.21443,1.09223,-2.24439
CRRA,-3.1984,1.09223,-2.21233
CRRA,-3.18236,1.09223,-2.18026
CRRA,-3.16633,1.09223,-2.1482
CRRA,-3.1503,1.09223,-2.11614
CRRA,-3.13427,1.09223,-2.08408
CRRA,-3.11824,1.09223,-2.05202
CRRA,-3.1022,1.09223,-2.01996
CRRA,-3.08617,1.09222,-1.9879
CRRA,-3.07014,1.09222,-1.95584
CRRA,-3.05411,1.09222,-1.92378
CRRA,-3.03808,1.09222,-1.89172
CRRA,-3.02204,1.09222,-1.85966
CRRA,-3.00601,1.09221,-1.8276
CRRA,-2.98998,1.09221,-1.79554
CRRA,-2.97395,1.09221,-1.76348
CRRA,-2.95792,1.09221,-1.73142
CRRA,-2.94188,1.0922,-1.69936
CRRA,-2.92585,1.0922,-1.6673
CRRA,-2.90982,1.0922,-1.63525
CRRA,-2.89379,1.09219,-1.60319
CRRA,-2.87776,1.09219,-1.57113
CRRA,-2.86172,1.09219,-1.53908
CRRA,-2.84569,1.09218,-1.50702
CRRA,-2.82966,1.09218,-1.47497
CRRA,-2.81363,1.09217,-1.44291
CRRA,-2.7976,1.09217,-1.41086
CRRA,-2.78156,1.09216,-1.3788
CRRA,-2.76553,1.09216,-1.34675
CRRA,-2.7495,1.09215,-1.3147
CRRA,-2.73347,1.09214,-1.28265
CRRA,-2.71743,1.09213,-1.2506
CRRA,-2.7014,1.09213,-1.21855
CRRA,-2.68537,1.09212,-1.1865
CRRA,-2.66934,1.09211,-1.15446
CRRA,-2.65331,1.0921,-1.12241
CRRA,-2.63727,1.09209,-1.09037
CRRA,-2.62124,1.09208,-1.05832
CRRA,-2.60521,1.09207,-1.02628
CRRA,-2.58918,1.09206,-0.994242
CRRA,-2.57315,1.09204,-0.962204
CRRA,-2.55711,1.09203,-0.930167
CRRA,-2.54108,1.09202,-0.898132
CRRA,-2.52505,1.092,-0.866099
CRRA,-2.50902,1.09198,-0.834068
CRRA,-2.49299,1.09197,-0.802039
