tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
4.259999999999973,4.259999999999973,4.259999999999973,3.0,3.0,3.0,NK,1,29.99,1.658e-03,1.658e-03,1.123783e-01,0.6241622832,0.63378750,0.63717863,0.63378450,-0.003391,1,warm
4.269999999999973,4.269999999999973,4.269999999999973,3.0,3.0,3.0,NK,1,29.80,8.359e-03,8.359e-03,1.165977e-01,0.6239377831,0.63344982,0.63709181,0.63345467,-0.003642,0,warm
4.2899999999999725,4.2899999999999725,4.2899999999999725,3.0,3.0,3.0,NK,1,30.75,1.622e-03,1.622e-03,1.357991e-01,0.6236158338,0.63293736,0.63707851,0.63292286,-0.004141,1,warm
4.299999999999972,4.299999999999972,4.299999999999972,3.0,3.0,3.0,NK,1,27.58,1.800e-02,1.800e-02,2.304319e-01,0.6801296141,0.69657595,0.70265197,0.69898062,-0.006076,0,warm
4.309999999999972,4.309999999999972,4.309999999999972,3.0,3.0,3.0,NK,1,25.93,5.570e-03,5.570e-03,1.928096e-01,0.6310859033,0.64094814,0.64924715,0.63990101,-0.008299,0,warm
4.339999999999971,4.339999999999971,4.339999999999971,3.0,3.0,3.0,NK,1,29.82,4.012e-03,4.012e-03,1.627841e-01,0.6245427086,0.63365497,0.63887186,0.63359613,-0.005217,0,warm
4.359999999999971,4.359999999999971,4.359999999999971,3.0,3.0,3.0,NK,1,28.35,7.428e-02,7.428e-02,2.207168e-01,0.6066840847,0.61132878,0.62317904,0.61822442,-0.011850,0,warm
4.369999999999971,4.369999999999971,4.369999999999971,3.0,3.0,3.0,NK,1,27.09,1.555e-01,1.555e-01,2.216967e-01,0.6410390575,0.65232181,0.65480968,0.65253831,-0.002488,0,warm
4.379999999999971,4.379999999999971,4.379999999999971,3.0,3.0,3.0,NK,1,29.99,5.985e-03,5.985e-03,1.217192e-01,0.6246389055,0.63360932,0.63976312,0.63366479,-0.006154,0,warm
4.38999999999997,4.38999999999997,4.38999999999997,3.0,3.0,3.0,NK,1,30.18,1.690e-03,1.690e-03,1.201097e-01,0.6245850462,0.63323131,0.63956144,0.63331015,-0.006330,1,warm
4.39999999999997,4.39999999999997,4.39999999999997,3.0,3.0,3.0,NK,1,29.78,2.411e-03,2.411e-03,1.183168e-01,0.6245125362,0.63305033,0.63962950,0.63314993,-0.006579,1,warm
4.40999999999997,4.40999999999997,4.40999999999997,3.0,3.0,3.0,NK,1,28.53,7.733e-03,7.733e-03,1.556757e-01,0.6237434512,0.63200566,0.63910648,0.63213688,-0.007101,0,warm
4.41999999999997,4.41999999999997,4.41999999999997,3.0,3.0,3.0,NK,1,19.98,7.580e-02,7.580e-02,2.914179e-01,0.6179108622,0.62811224,0.62998697,0.62970029,-0.001875,0,warm
4.449999999999969,4.449999999999969,4.449999999999969,3.0,3.0,3.0,NK,1,30.25,5.137e-03,5.137e-03,1.538195e-01,0.6233740962,0.63127056,0.63929241,0.63141664,-0.008022,0,warm
