tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
3.0,3.0,3.0,33.0,33.0,33.0,P1.0,1,0.06,7.092e-07,2.563e-06,9.989235e-04,0.6777316241,0.68855661,0.68968462,0.68855661,-0.001128,1,warm
3.0,3.0,3.0,32.0,32.0,32.0,P1.0,1,0.06,6.906e-07,2.643e-06,9.989227e-04,0.6777316625,0.68855666,0.68968466,0.68855666,-0.001128,1,warm
3.0,3.0,3.0,31.0,31.0,31.0,P1.0,1,0.06,6.720e-07,2.728e-06,9.989218e-04,0.6777317031,0.68855671,0.68968469,0.68855671,-0.001128,1,warm
3.0,3.0,3.0,30.0,30.0,30.0,P1.0,1,0.06,6.534e-07,2.819e-06,9.989208e-04,0.6777317462,0.68855676,0.68968473,0.68855676,-0.001128,1,warm
3.0,3.0,3.0,29.0,29.0,29.0,P1.0,1,0.06,6.348e-07,2.916e-06,9.989197e-04,0.6777317920,0.68855681,0.68968477,0.68855681,-0.001128,1,warm
3.0,3.0,3.0,28.0,28.0,28.0,P1.0,1,0.06,6.161e-07,3.020e-06,9.989184e-04,0.6777318407,0.68855687,0.68968481,0.68855687,-0.001128,1,warm
3.0,3.0,3.0,27.0,27.0,27.0,P1.0,1,0.06,5.975e-07,3.132e-06,9.989171e-04,0.6777318926,0.68855693,0.68968486,0.68855693,-0.001128,1,warm
3.0,3.0,3.0,26.0,26.0,26.0,P1.0,1,0.06,5.788e-07,3.252e-06,9.989155e-04,0.6777319478,0.68855699,0.68968491,0.68855699,-0.001128,1,warm
3.0,3.0,3.0,25.0,25.0,25.0,P1.0,1,0.06,5.601e-07,3.383e-06,9.989139e-04,0.6777320069,0.68855706,0.68968496,0.68855706,-0.001128,1,warm
3.0,3.0,3.0,24.0,24.0,24.0,P1.0,1,0.06,5.413e-07,3.524e-06,9.989120e-04,0.6777320700,0.68855714,0.68968502,0.68855714,-0.001128,1,warm
3.0,3.0,3.0,23.0,23.0,23.0,P1.0,1,0.06,5.377e-07,3.677e-06,9.989100e-04,0.6777321378,0.68855722,0.68968508,0.68855722,-0.001128,1,warm
3.0,3.0,3.0,22.0,22.0,22.0,P1.0,1,0.06,5.366e-07,3.844e-06,9.989078e-04,0.6777322106,0.68855730,0.68968514,0.68855730,-0.001128,1,warm
3.0,3.0,3.0,21.0,21.0,21.0,P1.0,1,0.06,5.362e-07,4.027e-06,9.989053e-04,0.6777322891,0.68855740,0.68968522,0.68855740,-0.001128,1,warm
3.0,3.0,3.0,20.0,20.0,20.0,P1.0,1,0.06,5.367e-07,4.228e-06,9.989026e-04,0.6777323741,0.68855750,0.68968529,0.68855750,-0.001128,1,warm
3.0,3.0,3.0,19.0,19.0,19.0,P1.0,1,0.06,5.382e-07,4.451e-06,9.988996e-04,0.6777324662,0.68855761,0.68968538,0.68855761,-0.001128,1,warm
3.0,3.0,3.0,18.0,18.0,18.0,P1.0,1,0.06,5.409e-07,4.698e-06,9.988963e-04,0.6777325666,0.68855772,0.68968547,0.68855772,-0.001128,1,warm
3.0,3.0,3.0,17.0,17.0,17.0,P1.0,1,0.06,5.849e-07,4.974e-06,9.988927e-04,0.6777326763,0.68855786,0.68968558,0.68855786,-0.001128,1,warm
3.0,3.0,3.0,16.0,16.0,16.0,P1.0,1,0.06,6.547e-07,5.285e-06,9.988886e-04,0.6777327968,0.68855800,0.68968569,0.68855800,-0.001128,1,warm
3.0,3.0,3.0,15.0,15.0,15.0,P1.0,1,0.06,7.376e-07,5.638e-06,9.988840e-04,0.6777329299,0.68855816,0.68968582,0.68855816,-0.001128,1,warm
3.0,3.0,3.0,14.0,14.0,14.0,P1.0,1,0.06,8.371e-07,6.040e-06,9.988789e-04,0.6777330777,0.68855834,0.68968596,0.68855834,-0.001128,1,warm
3.0,3.0,3.0,13.0,13.0,13.0,P1.0,1,0.06,9.581e-07,6.505e-06,9.988731e-04,0.6777332428,0.68855854,0.68968613,0.68855854,-0.001128,1,warm
3.0,3.0,3.0,12.0,12.0,12.0,P1.0,2,0.09,9.244e-07,7.047e-06,9.988607e-04,0.6777336399,0.68855898,0.68968645,0.68855898,-0.001127,1,warm
3.0,3.0,3.0,11.0,11.0,11.0,P1.0,2,0.09,9.827e-07,7.688e-06,9.988476e-04,0.6777340385,0.68855944,0.68968676,0.68855944,-0.001127,1,warm
3.0,3.0,3.0,10.0,10.0,10.0,P1.0,4,0.14,9.671e-07,8.456e-06,9.988217e-04,0.6777348202,0.68856029,0.68968729,0.68856029,-0.001127,1,warm
3.0,3.0,3.0,9.0,9.0,9.0,P1.0,4,0.15,9.903e-07,9.396e-06,9.987964e-04,0.6777355052,0.68856106,0.68968782,0.68856106,-0.001127,1,warm
3.0,3.0,3.0,8.0,8.0,8.0,P1.0,6,0.20,9.675e-07,1.057e-05,9.987595e-04,0.6777364953,0.68856215,0.68968855,0.68856215,-0.001126,1,warm
3.0,3.0,3.0,7.0,7.0,7.0,P1.0,8,0.27,9.499e-07,1.208e-05,9.987125e-04,0.6777377121,0.68856349,0.68968947,0.68856349,-0.001126,1,warm
3.0,3.0,3.0,6.0,6.0,6.0,P1.0,10,0.32,9.673e-07,1.409e-05,9.986533e-04,0.6777392497,0.68856520,0.68969068,0.68856520,-0.001125,1,warm
3.0,3.0,3.0,5.0,5.0,5.0,P1.0,24,0.73,9.999e-07,1.691e-05,9.985459e-04,0.6777419407,0.68856812,0.68969283,0.68856812,-0.001125,1,warm
3.0,3.0,3.0,4.0,4.0,4.0,P1.0,37,1.11,9.927e-07,2.114e-05,9.984033e-04,0.6777457461,0.68857225,0.68969601,0.68857225,-0.001124,1,warm
3.0,3.0,3.0,3.0,3.0,3.0,P1.0,52,1.57,9.976e-07,2.819e-05,9.981767e-04,0.6777517187,0.68857878,0.68970097,0.68857878,-0.001122,1,warm
3.01,3.01,3.01,3.0,3.0,3.0,P1.0,131,3.92,9.918e-07,2.989e-05,1.000913e-03,0.6777974598,0.68869254,0.68983399,0.68869254,-0.001141,1,warm
3.0199999999999996,3.0199999999999996,3.0199999999999996,3.0,3.0,3.0,P1.0,151,4.58,9.931e-07,3.046e-05,1.003374e-03,0.6778248870,0.68878794,0.68994819,0.68878794,-0.001160,1,warm
3.0299999999999994,3.0299999999999994,3.0299999999999994,3.0,3.0,3.0,P1.0,187,5.62,9.984e-07,1.927e-05,1.005596e-03,0.6778441698,0.68887487,0.69005326,0.68887487,-0.001178,1,warm
3.039999999999999,3.039999999999999,3.039999999999999,3.0,3.0,3.0,P1.0,221,6.66,9.916e-07,3.769e-05,1.007728e-03,0.6778562844,0.68895427,0.69015001,0.68895427,-0.001196,1,warm
3.049999999999999,3.049999999999999,3.049999999999999,3.0,3.0,3.0,P1.0,269,8.05,9.929e-07,3.139e-05,1.009657e-03,0.6778602915,0.68902518,0.69023755,0.68902518,-0.001212,1,warm
3.0599999999999987,3.0599999999999987,3.0599999999999987,3.0,3.0,3.0,P1.0,350,10.38,9.934e-07,4.401e-04,1.009426e-03,0.6778565121,0.68908785,0.69031626,0.68908785,-0.001228,1,warm
3.0699999999999985,3.0699999999999985,3.0699999999999985,3.0,3.0,3.0,P1.0,537,15.87,9.962e-07,1.973e-04,1.010514e-03,0.6778469234,0.68914413,0.69038849,0.68914413,-0.001244,1,warm
3.0799999999999983,3.0799999999999983,3.0799999999999983,3.0,3.0,3.0,A6,800,24.48,1.013e-05,1.956e-03,1.005614e-03,0.6778566988,0.68921777,0.69048437,0.68921777,-0.001267,0,warm
3.089999999999998,3.089999999999998,3.089999999999998,3.0,3.0,3.0,P1.0,1171,35.20,9.881e-07,3.674e-04,9.722379e-04,0.6777462980,0.68916764,0.69045675,0.68916764,-0.001289,1,warm
3.099999999999998,3.099999999999998,3.099999999999998,3.0,3.0,3.0,P1.0,228,6.85,9.946e-07,1.807e-03,9.745931e-04,0.6777015722,0.68918773,0.69048727,0.68918773,-0.001300,1,warm
3.1099999999999977,3.1099999999999977,3.1099999999999977,3.0,3.0,3.0,P1.0,228,6.79,9.834e-07,1.767e-03,9.769030e-04,0.6776465554,0.68919705,0.69050542,0.68919705,-0.001308,1,warm
3.1199999999999974,3.1199999999999974,3.1199999999999974,3.0,3.0,3.0,P1.0,224,6.66,9.788e-07,1.552e-03,9.793530e-04,0.6775721326,0.68918638,0.69050155,0.68918638,-0.001315,1,warm
3.1299999999999972,3.1299999999999972,3.1299999999999972,3.0,3.0,3.0,P1.0,240,7.24,9.972e-07,1.441e-03,9.821977e-04,0.6774816882,0.68915952,0.69047899,0.68915952,-0.001319,1,warm
3.139999999999997,3.139999999999997,3.139999999999997,3.0,3.0,3.0,P1.0,214,6.65,9.978e-07,1.383e-03,9.849172e-04,0.6773878503,0.68912839,0.69045088,0.68912839,-0.001322,1,warm
3.149999999999997,3.149999999999997,3.149999999999997,3.0,3.0,3.0,P1.0,217,6.85,9.933e-07,1.647e-03,9.876218e-04,0.6772810873,0.68908367,0.69040727,0.68908367,-0.001324,1,warm
3.1599999999999966,3.1599999999999966,3.1599999999999966,3.0,3.0,3.0,P1.0,220,6.82,9.904e-07,1.673e-03,9.904965e-04,0.6771609333,0.68902486,0.69034754,0.68902486,-0.001323,1,warm
3.1699999999999964,3.1699999999999964,3.1699999999999964,3.0,3.0,3.0,P1.0,224,6.96,9.916e-07,6.632e-04,9.934711e-04,0.6770273012,0.68895181,0.69027150,0.68895181,-0.001320,1,warm
3.179999999999996,3.179999999999996,3.179999999999996,3.0,3.0,3.0,P1.0,229,7.17,9.958e-07,1.004e-03,9.965231e-04,0.6768800468,0.68886431,0.69017887,0.68886431,-0.001315,1,warm
3.189999999999996,3.189999999999996,3.189999999999996,3.0,3.0,3.0,P1.0,236,7.38,9.931e-07,3.737e-04,9.995530e-04,0.6767189904,0.68876213,0.69006935,0.68876213,-0.001307,1,warm
3.1999999999999957,3.1999999999999957,3.1999999999999957,3.0,3.0,3.0,P1.0,244,7.64,9.987e-07,4.290e-04,1.002711e-03,0.6765444057,0.68864549,0.68994309,0.68864549,-0.001298,1,warm
