tau_1,tau_2,tau_3,gamma_1,gamma_2,gamma_3,alpha,iters,time_s,PhiI,Finf,oneR2_het,p_star,mu_1,mu_2,mu_3,pr_gap,converged,init
2.6000000000000085,2.6000000000000085,2.6000000000000085,3.0,3.0,3.0,P1.0,251,6.83,9.993e-07,9.669e-06,9.713680e-04,0.6710229535,0.67911121,0.67898071,0.67911121,0.000131,1,warm
2.5900000000000087,2.5900000000000087,2.5900000000000087,3.0,3.0,3.0,P1.0,616,16.27,9.990e-07,1.070e-05,9.691742e-04,0.6707228348,0.67874990,0.67856310,0.67874990,0.000187,1,warm
2.580000000000009,2.580000000000009,2.580000000000009,3.0,3.0,3.0,P1.0,923,24.84,9.889e-07,3.996e-06,1.034703e-03,0.6715957364,0.67967911,0.67876395,0.67967911,0.000915,1,warm
2.570000000000009,2.570000000000009,2.570000000000009,3.0,3.0,3.0,P1.0,130,3.56,9.897e-07,3.984e-06,1.029118e-03,0.6712968603,0.67931371,0.67837413,0.67931371,0.000940,1,warm
2.5600000000000094,2.5600000000000094,2.5600000000000094,3.0,3.0,3.0,P1.0,132,3.62,9.844e-07,4.968e-06,1.023502e-03,0.6709960559,0.67894645,0.67798270,0.67894645,0.000964,1,warm
2.5500000000000096,2.5500000000000096,2.5500000000000096,3.0,3.0,3.0,P1.0,135,3.52,9.957e-07,7.490e-06,1.017821e-03,0.6706916571,0.67857577,0.67758814,0.67857577,0.000988,1,warm
2.54000000000001,2.54000000000001,2.54000000000001,3.0,3.0,3.0,P1.0,139,3.48,1.000e-06,1.277e-05,1.012089e-03,0.6703834979,0.67820149,0.67719034,0.67820149,0.001011,1,warm
2.53000000000001,2.53000000000001,2.53000000000001,3.0,3.0,3.0,P1.0,144,3.57,9.836e-07,3.144e-05,1.006263e-03,0.6700717758,0.67782381,0.67678949,0.67782381,0.001034,1,warm
2.5200000000000102,2.5200000000000102,2.5200000000000102,3.0,3.0,3.0,P1.0,148,3.75,9.859e-07,3.115e-04,1.000217e-03,0.6697563240,0.67744259,0.67638542,0.67744259,0.001057,1,warm
2.5100000000000104,2.5100000000000104,2.5100000000000104,3.0,3.0,3.0,P1.0,153,3.73,9.821e-07,3.950e-06,9.940552e-04,0.6694373467,0.67705802,0.67597834,0.67705802,0.001080,1,warm
2.5000000000000107,2.5000000000000107,2.5000000000000107,3.0,3.0,3.0,P1.0,158,3.95,9.916e-07,3.988e-06,9.882543e-04,0.6691148338,0.67667010,0.67556825,0.67667010,0.001102,1,warm
2.490000000000011,2.490000000000011,2.490000000000011,3.0,3.0,3.0,P1.0,164,4.44,1.000e-06,4.022e-06,9.824004e-04,0.6687888998,0.67627894,0.67515527,0.67627894,0.001124,1,warm
2.480000000000011,2.480000000000011,2.480000000000011,3.0,3.0,3.0,P1.0,172,4.42,9.948e-07,4.002e-06,9.764486e-04,0.6684596496,0.67588464,0.67473952,0.67588464,0.001145,1,warm
2.4700000000000113,2.4700000000000113,2.4700000000000113,3.0,3.0,3.0,P1.0,182,4.83,9.849e-07,3.963e-06,9.704130e-04,0.6681271293,0.67548724,0.67432105,0.67548724,0.001166,1,warm
2.4600000000000115,2.4600000000000115,2.4600000000000115,3.0,3.0,3.0,P1.0,193,5.17,9.988e-07,4.021e-06,9.642951e-04,0.6677913652,0.67508678,0.67389990,0.67508678,0.001187,1,warm
2.4500000000000117,2.4500000000000117,2.4500000000000117,3.0,3.0,3.0,P1.0,203,5.28,9.939e-07,4.001e-06,9.581276e-04,0.6674523669,0.67468330,0.67347603,0.67468330,0.001207,1,warm
2.440000000000012,2.440000000000012,2.440000000000012,3.0,3.0,3.0,P1.0,224,5.95,9.901e-07,3.990e-06,9.518524e-04,0.6671105692,0.67427717,0.67304992,0.67427717,0.001227,1,warm
2.430000000000012,2.430000000000012,2.430000000000012,3.0,3.0,3.0,P1.0,257,6.83,9.911e-07,4.000e-06,9.453781e-04,0.6667655163,0.67386798,0.67262118,0.67386798,0.001247,1,warm
2.4200000000000124,2.4200000000000124,2.4200000000000124,3.0,3.0,3.0,P1.0,323,8.62,9.941e-07,4.021e-06,9.387064e-04,0.6664173714,0.67345586,0.67218997,0.67345586,0.001266,1,warm
2.4100000000000126,2.4100000000000126,2.4100000000000126,3.0,3.0,3.0,P1.0,619,16.36,9.994e-07,3.043e-05,9.317036e-04,0.6660655925,0.67304032,0.67175577,0.67304032,0.001285,1,warm
2.400000000000013,2.400000000000013,2.400000000000013,3.0,3.0,3.0,P1.0,639,16.99,9.944e-07,8.236e-06,9.172134e-04,0.6658406149,0.67274449,0.67145038,0.67274449,0.001294,1,warm
2.390000000000013,2.390000000000013,2.390000000000013,3.0,3.0,3.0,P1.0,259,7.00,9.908e-07,3.358e-05,9.100669e-04,0.6654906133,0.67233039,0.67101953,0.67233039,0.001311,1,warm
2.380000000000013,2.380000000000013,2.380000000000013,3.0,3.0,3.0,A6,53,1.37,9.965e-07,4.642e-05,9.028782e-04,0.6651414798,0.67191702,0.67059031,0.67191702,0.001327,1,warm
2.3700000000000134,2.3700000000000134,2.3700000000000134,3.0,3.0,3.0,A6,200,4.99,9.844e-07,4.730e-05,8.964579e-04,0.6646554884,0.67137449,0.67002496,0.67137449,0.001350,1,warm
2.3600000000000136,2.3600000000000136,2.3600000000000136,3.0,3.0,3.0,A15,800,21.55,2.464e-06,3.682e-04,8.888082e-04,0.6642955631,0.67095105,0.66958637,0.67095105,0.001365,0,warm
2.350000000000014,2.350000000000014,2.350000000000014,3.0,3.0,3.0,A10,800,22.32,3.278e-06,2.803e-04,8.832824e-04,0.6639368341,0.67052873,0.66914940,0.67052873,0.001379,0,warm
2.340000000000014,2.340000000000014,2.340000000000014,3.0,3.0,3.0,A6,800,21.06,3.716e-06,1.350e-04,8.742126e-04,0.6635747873,0.67010327,0.66870985,0.67010327,0.001393,0,warm
2.3300000000000143,2.3300000000000143,2.3300000000000143,3.0,3.0,3.0,A15,800,21.92,3.516e-06,1.508e-04,8.658333e-04,0.6632381325,0.66970219,0.66829299,0.66970219,0.001409,0,warm
2.3200000000000145,2.3200000000000145,2.3200000000000145,3.0,3.0,3.0,A15,800,22.14,4.477e-06,1.781e-04,8.581204e-04,0.6628731759,0.66927395,0.66785176,0.66927395,0.001422,0,warm
2.3100000000000147,2.3100000000000147,2.3100000000000147,3.0,3.0,3.0,A6,800,21.24,5.219e-06,2.099e-04,8.498206e-04,0.6625415051,0.66887898,0.66743963,0.66887898,0.001439,0,warm
2.300000000000015,2.300000000000015,2.300000000000015,3.0,3.0,3.0,A10,800,21.46,5.588e-06,3.118e-04,8.402959e-04,0.6621774406,0.66845170,0.66699966,0.66845170,0.001452,0,warm
2.290000000000015,2.290000000000015,2.290000000000015,3.0,3.0,3.0,A10,800,21.27,1.133e-05,1.421e-04,8.337418e-04,0.6618218199,0.66803218,0.66656914,0.66803218,0.001463,0,warm
2.2800000000000153,2.2800000000000153,2.2800000000000153,3.0,3.0,3.0,A15,800,21.12,2.904e-05,6.656e-04,8.175299e-04,0.6614307430,0.66757943,0.66610547,0.66757943,0.001474,0,warm
