seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
56,near_nonfr,3.921259675057876e-09,109,True,9.900597326695237e-08,non-FR,0.00011156512830118315,6.380583501090775e-05,5.027100957732955e-11
57,near_nonfr,7.212794578791309e-12,120,False,1.8689467363997014e-07,non-FR,0.00011282107740612224,5.878295817986212e-05,5.3201110183920264e-11
58,near_nonfr,7.093572158874069e-09,120,False,1.235680412159379e-07,non-FR,0.00011185886685977087,6.078472150980452e-05,5.3981819014836674e-11
59,near_nonfr,2.992473179346702e-10,86,True,9.933761770108962e-08,non-FR,0.00011137742282224528,6.427999625563396e-05,4.96616081591128e-11
60,near_nonfr,7.895602385913005e-11,78,True,9.393580105432342e-08,non-FR,0.00011127642427949391,6.535246075059509e-05,4.902467320988535e-11
61,near_nonfr,1.4756265719306448e-13,120,False,1.4862176578311903e-07,non-FR,0.00011235399317255368,6.055278639841011e-05,5.1974646808616853e-11
62,near_nonfr,5.541101846698586e-14,120,False,1.868986573422271e-07,non-FR,0.00011282137939183645,5.878114715453242e-05,5.3201998362339964e-11
63,near_nonfr,1.948084060070247e-12,120,False,1.8689970378293896e-07,non-FR,0.00011282147940644416,5.8780604313316e-05,5.3202553473852277e-11
64,near_nonfr,5.857900435032208e-14,120,False,1.5100771455500706e-07,non-FR,0.00011231667573674553,6.0687051099544975e-05,5.187661411554245e-11
65,near_nonfr,2.3097889426854807e-09,118,True,9.812746543103046e-08,non-FR,0.00011182980140900245,6.376805285696063e-05,4.7680637216274135e-11
66,near_nonfr,3.4330330209290275e-12,120,False,1.8689628200618813e-07,non-FR,0.00011282114852234626,5.8782321281924954e-05,5.320133222852519e-11
67,near_nonfr,4.515801039872135e-13,120,False,1.5100733849471304e-07,non-FR,0.0001123166404538023,6.068725023869459e-05,5.187650309323999e-11
68,near_nonfr,6.317156041130051e-14,120,False,1.486214975254807e-07,non-FR,0.000112353969570822,6.055294146631307e-05,5.197453578631439e-11
69,near_nonfr,3.4891502065142604e-14,120,False,1.4862154174011266e-07,non-FR,0.00011235397853154305,6.0552905097849274e-05,5.197453578631439e-11
70,near_nonfr,6.33217279995738e-10,120,False,1.2885315808786046e-07,non-FR,0.00011071320636973914,6.499069854895567e-05,5.0462745093682315e-11
71,near_nonfr,3.380317154515475e-11,120,False,1.8634893136915132e-07,non-FR,0.0001128289321137288,5.8744101238572544e-05,5.3216098194752703e-11
72,near_nonfr,6.612676791707532e-12,120,False,1.8689994507603558e-07,non-FR,0.00011282159666820002,5.8780248472223295e-05,5.3202886540759664e-11
73,near_nonfr,2.1722478942325689e-10,120,False,2.2588577509863317e-07,non-FR,0.00011593107380486467,4.508667000981126e-05,6.616429626404852e-11
74,near_nonfr,2.1238242038821463e-09,120,False,1.6075009899585435e-07,non-FR,0.00011221218696660928,6.192482393574394e-05,4.961953070647951e-11
75,near_nonfr,7.796731685274726e-14,120,False,1.4862164934847932e-07,non-FR,0.00011235398565617727,6.055284844755371e-05,5.1974646808616853e-11
