seed_index,family,amplitude,iterations,stage1_converged,residual_inf,nearest_known,distance_to_fr,distance_to_nonfr,revelation_deficit
63,mixed_no_learning,1.901824021111395e-08,60,False,2.9828654757479978e-05,non-FR,0.005933505062842903,0.0058878788498087364,1.862383158801606e-08
64,near_fr,7.865004645461823e-10,1,True,1.5045487078424458e-10,FR,3.7675446096230303e-10,0.00032557483902345696,0.0
65,near_nonfr,0.00018092601358443553,60,False,5.44632655141708e-07,non-FR,0.000323988485695037,8.251998193675725e-05,8.868509260295809e-10
66,mixed_fr_nonfr,3.859236186997518e-06,60,False,2.429608526588467e-07,FR,0.00012753549233318617,0.00019803924400718653,1.2008172234345693e-10
67,mixed_no_learning,0.0004638139638367697,60,False,4.257507455807108e-05,FR,0.007013980625103555,0.007014375121909888,9.169295145383671e-08
68,near_fr,8.588985549048407e-10,1,True,2.4523560959721635e-10,FR,4.93400986734116e-10,0.00032557434789409756,5.551115123125783e-16
69,near_nonfr,4.2970750981428004e-10,60,False,3.785260140332092e-07,non-FR,0.00022137024993174048,0.00012970250000154948,5.212470455262519e-10
70,mixed_fr_nonfr,7.935865158064968e-06,60,False,5.346132905259537e-07,non-FR,0.00024718323492955996,7.839150141081275e-05,6.021352305651817e-10
71,mixed_no_learning,2.389695754936165e-07,60,False,9.493802110904781e-06,non-FR,0.002478761026641685,0.0024609456975259736,1.18551002348255e-08
72,near_fr,1.951821865280293e-07,1,True,4.653593960179947e-08,FR,1.1114851344862231e-07,0.0003255097882189917,2.1094237467877974e-15
73,near_nonfr,1.1474337390840982e-05,60,False,9.64821529836346e-07,FR,0.000152735971251039,0.0001835110974763854,2.864141146474708e-10
74,mixed_fr_nonfr,2.0168402849762485e-09,60,False,5.090723155243282e-07,non-FR,0.00028181484302708393,4.375989331328878e-05,7.949360059100741e-10
75,mixed_no_learning,0.002428862613664525,60,False,1.3526668372343398e-05,FR,0.0022234244369696565,0.0022245294732115006,4.626277966268688e-07
76,near_fr,1.7453022669327725e-09,1,True,4.41503833492618e-10,FR,1.1509436737000556e-09,0.0003255745741978511,0.0
77,near_nonfr,9.420746293647648e-08,60,False,3.6109776627157864e-07,FR,0.00019548345190117944,0.00020073877466830758,4.2003811540070046e-10
78,mixed_fr_nonfr,8.81446684806496e-08,60,False,1.5344434034503251e-07,FR,8.235797409084089e-05,0.00024321676224953181,6.172495847778237e-11
79,mixed_no_learning,1.6591215298550041e-06,60,False,2.5093486077931715e-06,non-FR,0.0006364087769233362,0.0005907825638891695,8.613409985258613e-11
80,near_fr,7.918052254495469e-06,10,True,8.609068813392184e-08,FR,5.347562559876451e-06,0.0003277140196891737,2.091660178393795e-13
81,near_nonfr,4.571073798020985e-08,60,False,5.546684650470368e-07,non-FR,0.0003055369601490665,2.6597952017370918e-05,9.327321137675426e-10
82,mixed_fr_nonfr,1.6236850336478716e-06,60,False,4.7212731646428807e-07,non-FR,0.00022048645988970161,0.00010508827645067109,4.851556933971324e-10
83,mixed_no_learning,0.0028812817790879503,60,False,3.523381663711467e-05,non-FR,0.0071309223022261725,0.007085296089192006,8.458692268842327e-08
84,near_fr,1.593780539819414e-09,1,True,6.761975979152623e-10,FR,9.725641403335317e-10,0.00032557490318224636,1.1102230246251565e-16
85,near_nonfr,2.8433362333878432e-06,60,False,4.046380548961004e-07,non-FR,0.0002128357400526526,0.0001600029265359515,5.35035460380584e-10
86,mixed_fr_nonfr,2.749101191971663e-07,6,True,8.943570839470283e-08,FR,2.8626450129021208e-05,0.0002969482862113515,7.92710341812608e-12
87,mixed_no_learning,8.626919717971342e-06,60,False,1.592223903112977e-05,non-FR,0.003480000129779781,0.003446063543866562,9.366551645406673e-09
88,near_fr,9.52532968543396e-10,1,True,3.000046877588147e-10,FR,4.744671877610074e-10,0.0003255745201680704,2.220446049250313e-16
89,near_nonfr,3.570327449205066e-10,60,False,3.4333401299768695e-07,non-FR,0.00021333735206463533,0.00014434928172557537,4.932462216444833e-10
90,mixed_fr_nonfr,4.277550376876959e-09,60,False,3.010171221173863e-07,FR,0.00015448634727593946,0.00017108838906443324,2.352511518921574e-10
91,mixed_no_learning,0.0031806912010312605,60,False,2.56774663520698e-06,non-FR,0.0009201371644671497,0.0009190321282253056,1.6508335476395075e-08
92,near_fr,6.757229585033294e-08,1,True,1.4620913479923558e-08,FR,4.6741865156185725e-08,0.0003255826385764049,5.551115123125783e-16
93,near_nonfr,2.3098734738871027e-08,60,False,5.796449316086694e-07,FR,0.00019863000076869586,0.00020831304002422169,4.3980308284119474e-10
94,mixed_fr_nonfr,1.9102439429130455e-06,60,False,3.0578986753848625e-07,FR,0.00015123137813305432,0.0001743433582073184,1.4385959090645883e-10
95,mixed_no_learning,0.0006914604845502857,60,False,2.1517115263713915e-06,non-FR,0.0005926960945342036,0.0004389586242223853,8.629601921938956e-09
96,near_fr,8.99669806632769e-06,11,True,7.65430879234863e-08,FR,5.756739680506939e-06,0.00033133147602087965,1.4566126083082054e-13
97,near_nonfr,9.494331636798935e-08,60,False,6.57020060024216e-07,non-FR,0.00030903839931223365,2.1596538465118442e-05,9.453027249861634e-10
98,mixed_fr_nonfr,3.094354278259885e-08,60,False,5.084381221598377e-07,non-FR,0.00020706285599525476,0.00011851188034511795,4.18962864401351e-10
99,mixed_no_learning,0.003952349069660498,60,False,1.6919721043451297e-05,non-FR,0.004867086566671619,0.004864652409073966,2.312956851713288e-06
